orig_indexA,orig_indexB,addressA,addressB,score,Match,lat_indexB,lon_indexB,lat_indexA,lon_indexA
29,8123,"Premier Inn Aberdeen Airport Dyce, Aberdeen Airport Main Terminal Argyll Way Main TerminalAberdeen, Aberdeen City, AB210BN","Premier Inn, Argyll Way, Aberdeen, Aberdeen City, AB210BN",0.716,1,57.1976408,-2.2052572,57.19698,-2.20789
36,787,"Britannia Hotel Aberdeen, Malcolm Road Bucksburn BucksburnAberdeen, Aberdeen City, AB219LN","Britannia Hotel, Malcolm Road, Aberdeen, , United Kingdom, Aberdeen City, AB219LN",0.7385,1,51.4995182,-0.0791295,57.17791,-2.172614
50,4159,"Aberdeen Marriott Hotel, Overton Circle-Dyce Aberdeen, Aberdeen City, AB217AZ","The Aberdeen Dyce Hotel, Overton Circle, Aberdeen, Aberdeen City, AB217AZ",0.7809,1,54.69008775,-1.20127865,57.19985,-2.18362
64,8217,"Mercure Aberdeen Ardoe House Hotel & Spa, South Deeside Rd Blairs Blairs Aberdeen, Aberdeenshire, AB125YP","Ardoe House Hotel, South Deeside Road, Aberdeen, Aberdeenshire, AB125YP",0.7,1,54.43224335,-2.9616744,57.106573,-2.176056
67,784,"Sure Hotel by Best Western Aberdeen, 20 Summerhill Court AberdeenAberdeenshire, Aberdeen City, AB156TW","Sure Hotel by Best Western Aberdeen, Summerhill Court, Aberdeen, , GB, Aberdeen City, AB156TW",0.6993,1,51.5200069,-0.124404,57.151236,-2.151144
68,4569,"Premier Inn Aberdeen City Centre, Inverlair House West North Street West North StreetAberdeen, Aberdeen City, AB245AS","Premier Inn (Aberdeen City Centre), 10, West North Street, Aberdeen, AB245AS",0.67,1,52.5501385,-0.325114,57.15027,-2.09501
86,5337,"Travelodge Aberdeen Airport, Burnside Dr Off Riverview Dr Training Centre off Riverview DriveDyce Aberdeen, Aberdeen City, AB210HW","Travelodge, Burnside Drive, Aberdeen, Aberdeen City, AB210HW",0.7024,1,53.8002395,-1.56498965,57.201141,-2.173919
93,10267,"Premier Inn Aberdeen Anderson Drive, North Anderson Drive AberdeenAberdeenshire, Aberdeen City, AB156DW","Premier Inn (Aberdeen Central West), North Anderson Drive, Aberdeen, , GB, Aberdeen City, AB156DW",0.7269,1,51.46983025,-0.45355075,57.15037,-2.15023
100,10406,"The Craighaar Hotel, Waterton Road Bankhead Bucksburn BankheadAberdeen, Aberdeen City, AB219HS","Craighaar, Waterton Road, Aberdeen, Aberdeen City, AB219HS",0.7258,1,52.01194125,0.25905645,57.185917,-2.18257
318,7796,"The Weem Inn, Weem Nr. AberfeldyPerth & Kinross, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.7,1,56.6208046,-3.8619714,56.62582,-3.88641
